"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.90174685293439e-75,2.73052849965585,0.365,0.062,1.35792556341142e-70,"0","CCR7"
1.9291295061425e-74,-3.36984581545643,0.104,0.354,2.64560820472383e-70,"0","CD79B"
2.21107547140448e-74,-2.66207874983219,0.091,0.371,3.0322689014841e-70,"0","LGALS3"
1.79909430738632e-73,-4.58804489164013,0.016,0.25,2.46727793314959e-69,"0","CDA"
5.1541401583101e-73,-4.77637904472001,0.018,0.244,7.06838781310647e-69,"0","CD14"
8.20934595606777e-72,0.612872536134227,0.974,0.869,1.12582970441513e-67,"0","RPS26"
2.66784236362712e-71,1.66834244406795,0.512,0.164,3.65867901747823e-67,"0","CD2"
3.49535131971629e-71,3.23254266293153,0.319,0.043,4.79352479985892e-67,"0","LEF1"
2.72431956244534e-70,1.73254968942074,0.417,0.1,3.73613184793754e-66,"0","CD27"
4.94267155109373e-70,-3.87088593222586,0.024,0.251,6.77837976516994e-66,"0","HCK"
1.44645698567437e-69,1.16097658747712,0.679,0.347,1.98367111015384e-65,"0","AES"
1.65402605763113e-69,-4.44755546212951,0.015,0.234,2.26833133543534e-65,"0","SLC7A7"
1.81335217549433e-69,0.721006249525395,0.961,0.866,2.48683117347293e-65,"0","RPL36A"
3.01183383089525e-69,-2.83608589693594,0.065,0.316,4.13042891568974e-65,"0","BRI3"
1.98350211478726e-68,-1.62338108451037,0.286,0.564,2.72017480021925e-64,"0","RAC1"
8.47880604062534e-68,0.415377306925601,0.999,0.991,1.16278346041136e-63,"0","RPL19"
1.21226195212065e-67,-1.99716048267891,0.207,0.468,1.66249604113827e-63,"0","TKT"
4.11857360425162e-67,-5.53428255164077,0.006,0.21,5.64821184087067e-63,"0","LILRA5"
4.76031717349643e-67,-5.25631334584264,0.01,0.217,6.528298971733e-63,"0","HLA-DQA2"
7.02215488781795e-67,0.503718967336907,0.997,0.973,9.63018321315354e-63,"0","RPL18"
2.81868157318409e-66,-3.00702081409681,0.048,0.282,3.86553990946466e-62,"0","CTSH"
3.58452216889317e-66,0.419172031311366,0.998,0.986,4.91581370242009e-62,"0","RPS15"
6.02886515486104e-66,-0.80231684701494,0.992,0.993,8.26798567337644e-62,"0","ACTB"
7.63262929178051e-66,0.654187215342207,0.947,0.801,1.04673878107478e-61,"0","RPS21"
8.07901180657823e-66,2.02040172545346,0.416,0.12,1.10795567915414e-61,"0","PIK3IP1"
1.42416942382398e-65,0.361633464369014,1,0.994,1.95310594783221e-61,"0","RPS2"
1.68362068068766e-65,0.521248612789729,0.994,0.967,2.30891740149506e-61,"0","RPS5"
4.43815672376331e-65,-1.56133228886128,0.323,0.589,6.08648813096901e-61,"0","PRELID1"
4.97935224555007e-65,0.479770851720741,0.997,0.98,6.82868366954737e-61,"0","RPS8"
5.82148397731595e-65,-1.6124167321455,0.29,0.557,7.98358312649109e-61,"0","ANXA2"
1.01392522848994e-64,-2.26794507352702,0.132,0.392,1.39049705835111e-60,"0","RGS2"
1.39178929858144e-64,1.01540573555559,0.938,0.881,1.90869984407459e-60,"0","JUNB"
1.4799414646816e-64,4.09424803067124,0.271,0.024,2.02959172466435e-60,"0","MAL"
2.26983681285815e-64,-4.5283319129218,0.048,0.247,3.11285420515367e-60,"0","CD79A"
5.60169950451144e-64,-2.95799628882017,0.051,0.282,7.68217070048699e-60,"0","RNF130"
3.63750417787583e-63,-2.99768869614811,0.044,0.272,4.98847322953891e-59,"0","PLEK"
3.16030730667875e-62,1.32690686028302,0.542,0.218,4.33404544037924e-58,"0","LCK"
6.55091017907941e-62,2.91722319656411,0.314,0.052,8.98391821958951e-58,"0","AQP3"
8.67885035106252e-62,0.387503800540451,0.999,0.995,1.19021753714471e-57,"0","RPLP1"
7.17185748981369e-61,2.45484970527875,0.319,0.057,9.83548536153049e-57,"0","TRAT1"
9.02486389673005e-61,-1.83656426034762,0.423,0.61,1.23766983479756e-56,"0","S100A11"
5.31286854033241e-60,0.570329261482458,0.988,0.948,7.28606791621187e-56,"0","RPL4"
1.11200130753722e-59,-3.88082720566209,0.048,0.244,1.52499859315654e-55,"0","MS4A1"
1.90350134191249e-59,-3.30069651092768,0.082,0.288,2.6104617402988e-55,"0","CST7"
2.8956229155335e-59,2.61935596206204,0.31,0.056,3.97105726636264e-55,"0","PRKCQ-AS1"
1.8114293245786e-58,0.721341230386499,0.907,0.737,2.48419417572709e-54,"0","RPL22"
2.67871836868539e-58,0.793535438260772,0.85,0.646,3.67359437081515e-54,"0","RPSAP58"
3.38022270370693e-58,-4.03826056390967,0.018,0.213,4.63563741586369e-54,"0","MNDA"
3.80592559122228e-58,-4.17481042093132,0.012,0.202,5.21944635580223e-54,"0","PILRA"
3.83961242673316e-58,0.701987801766844,0.944,0.83,5.26564448202186e-54,"0","BTG1"
5.30737057372926e-58,-1.92549055623952,0.219,0.462,7.2785280048123e-54,"0","AP2S1"
6.27112692924676e-58,-5.44815038972482,0.005,0.183,8.600223470769e-54,"0","C19orf38"
8.98243739141206e-58,-2.52407624248674,0.065,0.297,1.23185146385825e-53,"0","EFHD2"
2.06464564014368e-57,-3.07600538484749,0.039,0.249,2.83145503089304e-53,"0","LYN"
7.63798043733248e-57,-4.40410794492058,0.021,0.208,1.04747263717578e-52,"0","APOBEC3A"
9.44028922003556e-57,-4.37945189089668,0.013,0.197,1.29464126363568e-52,"0","CPVL"
1.29265355017204e-56,-2.30350930409669,0.099,0.34,1.77274507870593e-52,"0","FCGRT"
2.47167858116578e-56,-4.4978702734559,0.034,0.226,3.38966000621076e-52,"0","CCL3"
2.71999200541633e-56,-4.97174592841012,0.009,0.189,3.73019703622795e-52,"0","IGSF6"
2.8573415870959e-56,-3.54511172175941,0.023,0.221,3.91855825254331e-52,"0","STX11"
3.76998238367673e-56,-2.28156069223339,0.115,0.348,5.17015384097426e-52,"0","STXBP2"
4.85694930089136e-56,-1.84906514441527,0.2,0.449,6.66082027124242e-52,"0","ATP6V0B"
6.81102405328696e-56,-3.12103686209579,0.045,0.255,9.34063838667774e-52,"0","TNFSF13B"
7.7896358626727e-56,0.986078390730621,0.556,0.219,1.06827066220693e-51,"0","CD7"
8.29587594326435e-56,-4.35229276680443,0.015,0.196,1.13769642685927e-51,"0","RP11-290F20.3"
3.14996519171714e-55,-3.23483894644108,0.034,0.234,4.31986226392089e-51,"0","NUP214"
9.7996822024907e-55,0.612953033789053,0.953,0.846,1.34392841724957e-50,"0","RPL38"
1.01474508837222e-54,0.364684254633226,0.998,0.99,1.39162141419366e-50,"0","RPS19"
2.30044099612863e-54,-1.88696431809057,0.579,0.671,3.1548247820908e-50,"0","COTL1"
3.08417632807844e-54,0.468523240696728,0.991,0.956,4.22963941632677e-50,"0","RPL35"
4.84874537583525e-54,-0.923429443218527,0.813,0.895,6.64956940842046e-50,"0","SH3BGRL3"
1.43036600270401e-53,0.594496923187831,0.948,0.84,1.96160393610827e-49,"0","EEF1B2"
1.82519534479198e-53,0.558115971481795,0.979,0.95,2.50307289584772e-49,"0","RPL17"
3.8397933512273e-53,0.621655721481117,0.917,0.768,5.26589260187312e-49,"0","GLTSCR2"
4.58813450435408e-53,-4.07957782232857,0.015,0.191,6.29216765927119e-49,"0","CTSZ"
6.7219128558674e-53,-4.13841812565059,0.02,0.196,9.21843129053656e-49,"0","MS4A7"
3.08709700860512e-52,0.761532054236746,0.686,0.424,4.23364483760106e-48,"0","GIMAP7"
4.47459631773248e-52,1.92193277503449,0.372,0.124,6.13646139013832e-48,"0","TCF7"
6.17251287836463e-52,-2.59855591979952,0.05,0.258,8.46498416138926e-48,"0","APLP2"
8.12000608003301e-52,0.309470972288462,0.999,0.99,1.11357763381573e-47,"0","RPL18A"
1.25840874277811e-51,-4.2830552817863,0.015,0.188,1.7257817498459e-47,"0","ALDH2"
1.26740273117398e-51,0.570646646584467,0.984,0.959,1.73811610553199e-47,"0","RPL7"
3.10131787865811e-51,0.945554106340703,0.681,0.416,4.25314733879173e-47,"0","EVL"
5.92414610713028e-51,-4.41129555119028,0.011,0.176,8.12437397131846e-47,"0","LRRC25"
5.9913867894456e-51,0.777549301721164,0.772,0.54,8.21658784304569e-47,"0","HINT1"
1.93772501103888e-50,1.72249349096692,0.373,0.119,2.65739608013872e-46,"0","RGCC"
2.36814070480937e-50,0.443941187539325,0.987,0.931,3.24766816257557e-46,"0","RPL37A"
2.93330753552027e-50,-4.48450736037684,0.015,0.184,4.0227379542125e-46,"0","FPR1"
4.58926590088529e-50,-2.65722946691572,0.051,0.25,6.29371925647408e-46,"0","BLVRB"
7.54271125919445e-50,-5.44483881721979,0.032,0.193,1.03440742208593e-45,"0","GZMB"
1.97695744237992e-49,1.54212114435156,0.368,0.1,2.71119943647982e-45,"0","CD3G"
2.18337144317177e-49,-1.51551088032208,0.214,0.45,2.99427559716576e-45,"0","CD63"
2.47241474815852e-49,2.20790288966893,0.301,0.071,3.39066958562459e-45,"0","FLT3LG"
2.10241648927883e-48,-2.4588807840778,0.078,0.275,2.88325397339698e-44,"0","RHOC"
3.35944158762514e-48,-2.74660016092929,0.094,0.28,4.60713819326911e-44,"0","GZMA"
3.44829402656104e-48,-4.57087492808652,0.009,0.168,4.72899042802581e-44,"0","MAFB"
6.60824402941374e-48,-3.68650467526265,0.016,0.183,9.06254586193801e-44,"0","MPEG1"
1.20330149395732e-47,0.45862805405714,0.982,0.93,1.65020766881307e-43,"0","RPL24"
1.20599679141423e-47,-4.0318956455217,0.014,0.171,1.65390399974547e-43,"0","RNASE6"
3.36016761330234e-47,-3.3231218513236,0.027,0.206,4.60813386488283e-43,"0","FGL2"
5.44165583099226e-47,-3.25616550844391,0.026,0.196,7.46268680662278e-43,"0","KLF4"
1.11872696887091e-46,1.34964986388271,0.435,0.179,1.53422216510956e-42,"0","PRDX2"
2.37743300934953e-46,-4.98047700003756,0.026,0.178,3.26041162902195e-42,"0","FGFBP2"
4.22437630124426e-46,0.462610750874831,0.985,0.929,5.79330965952638e-42,"0","RPL37"
5.25923413508897e-46,-4.77010528945199,0.018,0.166,7.21251369286102e-42,"0","GZMH"
7.89423655914584e-46,1.33051975001699,0.428,0.172,1.08261560172126e-41,"0","GIMAP5"
1.66561562314079e-45,-3.6096147574062,0.066,0.229,2.28422526557527e-41,"0","PRF1"
3.50395222245945e-45,-3.64075727967789,0.016,0.177,4.80532007788088e-41,"0","SMCO4"
